,Artist,Album
1498,Kedr Livanskiy,Liminal Soul
1499,Fauness,Maiden No More
1500,ORNAMENT AND CRIME,Another Night on the Astral Plane
1501,Mo Troper,Dilenttante
1502,Kay Young,This Here Feels Good
1503,Tricky Woo,Sometimes I Cry
1504,Snail Mail,Valentine
1505,Odonis Odonis,Spectrums
1506,Kaley Rutledge,Tender Heart
1507,Xenia Rubinos,Una Rosa
1508,Smallpools,LIFE IN A SIMULATION
1509,Dean Wareham,I Have Nothing to Say to the Mayor or LA
1510,American Sigh,Honor System
1511,Zeph,scared of everything
1512,Christina Ward,Humans
1513,Henry Chadwick,We All Start Again
1514,Angel Du$t,YAK: A Collection Of Truck Songs
1515,Spirit Was,Heaven's Just a Cloud
1516,YULLOLA,Priestess
1517,Another Michael,Unplugged Music and Big Sessions
1518,Furrows,Fisher King
1519,Deerhoof,"Actually, You Can"
1520,Narrow Head,Satisfaction
1521,Destroy Boys,"Open Mouth, Open Heart"
1522,Together Pangea,DYE
1523,IDLES,CRAWLER
1524,Wet,Letter Blue
1525,Oberhofer,Smothered
1526,Makthaverskan,For Allting
1527,PinkPantheress,to hell with it
1528,Chloe Moser,Reminisce
1529,Naomi Alligtor,Concession Stand Girl
1530,Charlottle Cornfield,Highs in the Minusses
1531,Papercuts,Baxter's Bliss EP
1532,Dakota Theim,Tangled Heart
1533,Suntitle,In a Dream
1534,Generationals,ILEANA
1535,Nylon Smile,Waiting for Oblivion
1536,Tasha,Tell Me What You Miss The Most
1537,Dolly Valentine,Holiday Singles
1538,Babitha,Christmas Day
1539,Quin Christopherson,I Am Bubblegum
1540,Alice Phoebe Lou,Child's Play
1541,Bully,Just For Love
1542,808s & Greatest Hits,Social Bubble
1543,Hippo Campus,Ride or Die
1544,Marble Party,Time and Time Again
1545,Jeremiah Furr,Catch a Ride to the Unknown
1546,Kills Birds,Married
1547,Tink and the Lost Boys,Tink and the Lost Boys
1548,YYY,aquadungeonafterdark
1549,Alyssa Gengos,Cheerleader of the Universe
1550,Sloppy Jane,Madison
1551,fika & Bambi,Coffee & Clouds
1552,Geese,Projector
1553,Coco,Coco
1554,Naytronix,Other Possibilities
1555,Parquet Courts,Watching Strangers Smile
1556,Fleet Foxes,A Very Lonely Solstice
1557,Blueprint Tokyo,A Whole New Life
1558,The Stress Of Her Regard,The Stress Of Her Regard
1559,Jovian,Emoceans
1560,Said the Whale,Dandelion
1561,joe p,Emily Can't Sing
1562,Nova Rae,Acquainted
1563,Cedric Noel,Hang Time
1564,Matilde Davoli,Home
1565,The Dead Bolts,Pretty And Burnt Out
1566,Karate School Dropout,HokuPsychosister
1567,Miradores del Sol,Half Baked
1568,Tōth,DEATH EP
1569,Fairmont,A Retrospective 2011-2021
1570,Audri,Swan Song
1571,The Sherlocks,World I Understand
1572,The Sherlocks,World I Understand
1573,Palace,Shoals
1574,The Wombats,"Fix Yourself, Not The World"
1575,Earl Sweatshirt,Sick!
1576,Mary Akpa,Nnoo
1577,Pegasus Warning,Inspiration Equation
1578,Keys N Krates,Original Classic
1579,SUGARFUNGUS,"Letting Go, Moving Still"
1580,Animal Collective,Strung with Everything
1581,Shout Out Louds,Sky and I (Himlen)
1582,Sophie Powers,Clearview
1583,Metronomy,Small World
1584,Hana Vu,Public Storage
1585,Spaceface,Anemoia
1586,ME REX,"""Never Graduate"""
1587,Steele FC,Here Comes (Steele FC)
1588,Marissa Burwell,Bittersweet
1589,VONAMOR,You the People
1590,Sun June,Run For Cover
1591,yarn.,I Said Goodbye And Then... EP
1592,Broken Social Scene,Old Dead Young (B-Sides & Rarities)
1593,FKA twigs,CAPRISONGS
1594,Samm Henshaw,Untidy Soul
1595,Ladyhawke,Time Flies
1596,Bonobo,Fragments
1597,The Jack Moves,Everloving vs Evil
1598,Grace Womack ,Yellow Cowboy Hat
1599,Cat Power,Covers
1600,Sabrina Fallah,Radio Songs
1601,Juice,Boy Story
1602,Test Subjects,Study
1603,Kaya Usher and The Family Band ,All This Is
1604,Carthy,Broken Down
1605,Kid Le Chat,Hey Sunny
1606,Pip Blom,Welcome Break
1607,King Gizzard and The Lizard Wizard,Butterfly 3001
